brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,clean_title_missing,vehicle_age,milage_bin,brand_model,model_year_milage,log_price,brand_model_year,brand_milage,fuel_type_milage,brand_clean_title_missing,fuel_type_clean_title_missing,accident_clean_title_missing,brand_fuel_type,accident_clean_title
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,Unknown,73897,1,3,<50k,Land_Rover Range Rover Sport 3.0 Supercharged HST,55795768,11.210427510713089,Land_2021,Land_27608,Gasoline_27608,Land_1,Gasoline_1,None reported_1,Land_Gasoline,None reported_Unknown
Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,184606,0,5,<50k,Aston_Martin DBS Superleggera,45972630,12.125979103231247,Aston_2019,Aston_22770,Gasoline_22770,Aston_0,Gasoline_0,None reported_0,Aston_Gasoline,None reported_Yes
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500,0,3,<50k,Toyota_Supra 3.0 Premium,25262500,10.887436932884098,Toyota_2021,Toyota_12500,Gasoline_12500,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000,0,2,<50k,Lincoln_Aviator Reserve AWD,36792312,11.03488966402723,Lincoln_2022,Lincoln_18196,Gasoline_18196,Lincoln_0,Gasoline_0,None reported_0,Lincoln_Gasoline,None reported_Yes
Jaguar,F-TYPE,2020,15903,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,Unknown,47998,1,4,<50k,Jaguar_F-TYPE,32124060,10.778914622355282,Jaguar_2020,Jaguar_15903,Gasoline_15903,Jaguar_1,Gasoline_1,None reported_1,Jaguar_Gasoline,None reported_Unknown
Land,Rover LR4 HSE,2013,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990,0,11,50k-100k,Land_Rover LR4 HSE,160637400,10.308619271743055,Land_2013,Land_79800,Gasoline_79800,Land_0,Gasoline_0,None reported_0,Land_Gasoline,None reported_Yes
Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,250000,0,3,<50k,Mercedes-Benz_Metris Base,3405385,12.429216196844383,Mercedes-Benz_2021,Mercedes-Benz_1685,Gasoline_1685,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Dodge,Challenger SXT,2013,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800,0,11,50k-100k,Dodge_Challenger SXT,122941962,9.72913416539135,Dodge_2013,Dodge_61074,Gasoline_61074,Dodge_0,Gasoline_0,None reported_0,Dodge_Gasoline,None reported_Yes
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000,0,21,50k-100k,Nissan_350Z Enthusiast,148222000,9.305650551780507,Nissan_2003,Nissan_74000,Gasoline_74000,Nissan_0,Gasoline_0,None reported_0,Nissan_Gasoline,None reported_Yes
Jaguar,F-TYPE R,2018,35250,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750,0,6,<50k,Jaguar_F-TYPE R,71134500,11.138232015528818,Jaguar_2018,Jaguar_35250,Gasoline_35250,Jaguar_0,Gasoline_0,None reported_0,Jaguar_Gasoline,None reported_Yes
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,No,Unknown,60000,1,1,<50k,Genesis_GV70 3.5T Sport,10924200,11.002099841204238,Genesis_2023,Genesis_5400,Gasoline_5400,Genesis_1,Gasoline_1,No_1,Genesis_Gasoline,No_Unknown
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500,0,24,100k-150k,Chevrolet_S-10 LS,267020000,8.411832675758411,Chevrolet_2000,Chevrolet_133510,E85 Flex Fuel_133510,Chevrolet_0,E85 Flex Fuel_0,None reported_0,Chevrolet_E85 Flex Fuel,None reported_Yes
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,Unknown,38598,1,4,<50k,BMW_440 Gran Coupe 440i xDrive,52499800,10.560955740639056,BMW_2020,BMW_25990,Gasoline_25990,BMW_1,Gasoline_1,None reported_1,BMW_Gasoline,None reported_Unknown
Ford,F-150 XLT,2023,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504,0,1,<50k,Ford_F-150 XLT,5710929,10.976850406950787,Ford_2023,Ford_2823,Gasoline_2823,Ford_0,Gasoline_0,None reported_0,Ford_Gasoline,None reported_Yes
Chevrolet,Suburban RST,2021,52000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000,0,3,50k-100k,Chevrolet_Suburban RST,105092000,11.018629143155449,Chevrolet_2021,Chevrolet_52000,Gasoline_52000,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300,0,2,<50k,Hyundai_Elantra N Base,23556300,10.382822509210747,Hyundai_2022,Hyundai_11650,Gasoline_11650,Hyundai_0,Gasoline_0,None reported_0,Hyundai_Gasoline,None reported_Yes
Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998,1,8,50k-100k,Nissan_Sentra SR,194626656,9.546669741249485,Nissan_2016,Nissan_96541,Gasoline_96541,Nissan_1,Gasoline_1,None reported_1,Nissan_Gasoline,None reported_Unknown
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995,0,3,<50k,Mercedes-Benz_AMG CLA 45 Base 4MATIC,35367500,11.002016504398489,Mercedes-Benz_2021,Mercedes-Benz_17500,Gasoline_17500,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700,0,9,50k-100k,BMW_650 Gran Coupe i xDrive,139035000,10.154246270883311,BMW_2015,BMW_69000,Gasoline_69000,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375,0,7,50k-100k,Audi_Q5 2.0T Premium Plus,165151960,9.969977293804961,Audi_2017,Audi_81880,E85 Flex Fuel_81880,Audi_0,E85 Flex Fuel_0,None reported_0,Audi_E85 Flex Fuel,None reported_Yes
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000,0,6,<50k,Mercedes-Benz_AMG C 43 Base 4MATIC,58118400,10.778956289890028,Mercedes-Benz_2018,Mercedes-Benz_28800,Gasoline_28800,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900,0,18,>200k,Dodge_Ram 1500 Laramie Mega Cab,602167098,9.296518068217235,Dodge_2006,Dodge_300183,Gasoline_300183,Dodge_0,Gasoline_0,At least 1 accident or damage reported_0,Dodge_Gasoline,At least 1 accident or damage reported_Yes
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998,1,4,<50k,BMW_i3 120Ah w/Range Extender,70770700,10.126551100650167,BMW_2020,BMW_35035,Hybrid_35035,BMW_1,Hybrid_1,None reported_1,BMW_Hybrid,None reported_Unknown
Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999,0,13,150k-200k,Kia_Sorento SX,343881000,8.699348067653093,Kia_2011,Kia_171000,Gasoline_171000,Kia_0,Gasoline_0,None reported_0,Kia_Gasoline,None reported_Yes
Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900,0,8,100k-150k,Lexus_LX 570 Base,239299200,10.75577295443437,Lexus_2016,Lexus_118700,Gasoline_118700,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900,0,7,100k-150k,Jeep_New Compass Trailhawk,240023000,9.674074388208323,Jeep_2017,Jeep_119000,Gasoline_119000,Jeep_0,Gasoline_0,None reported_0,Jeep_Gasoline,None reported_Yes
BMW,340 i,2018,44261,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598,1,6,<50k,BMW_340 i,89318698,10.42222182037016,BMW_2018,BMW_44261,Gasoline_44261,BMW_1,Gasoline_1,None reported_1,BMW_Gasoline,None reported_Unknown
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999,0,12,100k-150k,Audi_A4 2.0T Premium Plus quattro,252656900,9.104868739033948,Audi_2012,Audi_125575,Gasoline_125575,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200,0,17,<50k,Hyundai_Tucson SE,32513400,9.011889433252344,Hyundai_2007,Hyundai_16200,Gasoline_16200,Hyundai_0,Gasoline_0,None reported_0,Hyundai_Gasoline,None reported_Yes
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000,0,10,50k-100k,BMW_Z4 sDrive28i,140980000,9.903487552536127,BMW_2014,BMW_70000,Gasoline_70000,BMW_0,Gasoline_0,At least 1 accident or damage reported_0,BMW_Gasoline,At least 1 accident or damage reported_Yes
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950,0,13,<50k,Bentley_Continental GTC Base,40622200,11.2891567182621,Bentley_2011,Bentley_20200,E85 Flex Fuel_20200,Bentley_0,E85 Flex Fuel_0,None reported_0,Bentley_E85 Flex Fuel,None reported_Yes
Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Unknown,45498,1,1,<50k,Honda_Passport Elite,6024494,10.72542364792899,Honda_2023,Honda_2978,Gasoline_2978,Honda_1,Gasoline_1,None reported_1,Honda_Gasoline,None reported_Unknown
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000,0,17,150k-200k,Dodge_Sprinter 2500,380766033,9.546812608597396,Dodge_2007,Dodge_189719,Diesel_189719,Dodge_0,Diesel_0,At least 1 accident or damage reported_0,Dodge_Diesel,At least 1 accident or damage reported_Yes
BMW,M850 i xDrive,2019,9949,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Unknown,75798,1,5,<50k,BMW_M850 i xDrive,20087031,11.235827186058092,BMW_2019,BMW_9949,Gasoline_9949,BMW_1,Gasoline_1,None reported_1,BMW_Gasoline,None reported_Unknown
Lucid,Air Grand Touring,2022,3552,Gasoline,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,119999,0,2,<50k,Lucid_Air Grand Touring,7182144,11.695238688396127,Lucid_2022,Lucid_3552,Gasoline_3552,Lucid_0,Gasoline_0,None reported_0,Lucid_Gasoline,None reported_Yes
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,0,12,50k-100k,Audi_A7 Premium,108648000,10.51542467767053,Audi_2012,Audi_54000,Gasoline_54000,Audi_0,Gasoline_0,At least 1 accident or damage reported_0,Audi_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147,0,3,50k-100k,Chevrolet_Silverado 1500 Custom Trail Boss,103780371,10.672368169181512,Chevrolet_2021,Chevrolet_51351,Gasoline_51351,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,0,7,<50k,MINI_Convertible John Cooper Works,48972760,10.275051108968611,MINI_2017,MINI_24280,Gasoline_24280,MINI_0,Gasoline_0,At least 1 accident or damage reported_0,MINI_Gasoline,At least 1 accident or damage reported_Yes
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500,0,8,50k-100k,Toyota_Avalon Touring,179722368,9.769956159911606,Toyota_2016,Toyota_89148,Gasoline_89148,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990,0,7,50k-100k,Porsche_Cayenne Platinum Edition,147327731,10.341419850781794,Porsche_2017,Porsche_73043,Gasoline_73043,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500,0,7,50k-100k,Mercedes-Benz_AMG C 63 S,121020000,10.868568448579715,Mercedes-Benz_2017,Mercedes-Benz_60000,Gasoline_60000,Mercedes-Benz_0,Gasoline_0,At least 1 accident or damage reported_0,Mercedes-Benz_Gasoline,At least 1 accident or damage reported_Yes
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Unknown,20848,1,8,50k-100k,Honda_CR-V EX-L,148274784,9.945013299364627,Honda_2016,Honda_73549,Gasoline_73549,Honda_1,Gasoline_1,At least 1 accident or damage reported_1,Honda_Gasoline,At least 1 accident or damage reported_Unknown
Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500,0,19,100k-150k,Hummer_H2 Base,222354500,9.878169744551839,Hummer_2005,Hummer_110900,Gasoline_110900,Hummer_0,Gasoline_0,None reported_0,Hummer_Gasoline,None reported_Yes
Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000,0,11,<50k,Porsche_911 Carrera S,78507000,11.198214720130528,Porsche_2013,Porsche_39000,Gasoline_39000,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800,0,8,100k-150k,Mercedes-Benz_CLA-Class CLA 250,241920000,9.893437216682626,Mercedes-Benz_2016,Mercedes-Benz_120000,Gasoline_120000,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500,0,15,100k-150k,Chrysler_300 Touring,270415418,8.922658299524402,Chrysler_2009,Chrysler_134602,Gasoline_134602,Chrysler_0,Gasoline_0,None reported_0,Chrysler_Gasoline,None reported_Yes
Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,Unknown,30999,1,1,<50k,Nissan_Rogue SV,2213162,10.341710224882465,Nissan_2023,Nissan_1094,Gasoline_1094,Nissan_1,Gasoline_1,None reported_1,Nissan_Gasoline,None reported_Unknown
Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500,0,14,50k-100k,Audi_A3 2.0T,167835000,8.779557455883728,Audi_2010,Audi_83500,Gasoline_83500,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500,0,10,<50k,Ford_Mustang GT Premium,74638840,10.257659366256743,Ford_2014,Ford_37060,Gasoline_37060,Ford_0,Gasoline_0,None reported_0,Ford_Gasoline,None reported_Yes
Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995,0,14,50k-100k,Acura_RL Technology,196377000,9.305195902988862,Acura_2010,Acura_97700,Gasoline_97700,Acura_0,Gasoline_0,None reported_0,Acura_Gasoline,None reported_Yes
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000,0,6,<50k,Volvo_XC90 Hybrid T8 R-Design,80720000,10.645424897265505,Volvo_2018,Volvo_40000,Plug-In Hybrid_40000,Volvo_0,Plug-In Hybrid_0,None reported_0,Volvo_Plug-In Hybrid,None reported_Yes
Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,Unknown,144900,1,6,<50k,Audi_R8 5.2 V10,18040920,11.883799128308773,Audi_2018,Audi_8940,Gasoline_8940,Audi_1,Gasoline_1,None reported_1,Audi_Gasoline,None reported_Unknown
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000,0,10,150k-200k,Mercedes-Benz_GLK-Class GLK 350,374604000,9.210340371976184,Mercedes-Benz_2014,Mercedes-Benz_186000,Gasoline_186000,Mercedes-Benz_0,Gasoline_0,At least 1 accident or damage reported_0,Mercedes-Benz_Gasoline,At least 1 accident or damage reported_Yes
Toyota,C-HR LE,2021,13180,Gasoline,2.0 Liter,CVT-F,–,–,None reported,Unknown,23998,1,3,<50k,Toyota_C-HR LE,26636780,10.085725772524334,Toyota_2021,Toyota_13180,Gasoline_13180,Toyota_1,Gasoline_1,None reported_1,Toyota_Gasoline,None reported_Unknown
Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000,0,10,100k-150k,Lexus_IS 350 Base,209456000,9.95227771670556,Lexus_2014,Lexus_104000,Gasoline_104000,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900,0,1,<50k,BMW_X4 M40i,17195500,11.125791313546788,BMW_2023,BMW_8500,Hybrid_8500,BMW_0,Hybrid_0,None reported_0,BMW_Hybrid,None reported_Yes
BMW,M4 CS,2019,19069,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,Unknown,69998,1,5,<50k,BMW_M4 CS,38500311,11.156221949194753,BMW_2019,BMW_19069,Gasoline_19069,BMW_1,Gasoline_1,None reported_1,BMW_Gasoline,None reported_Unknown
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900,0,1,<50k,Cadillac_CT5 Premium Luxury,12320070,10.75577295443437,Cadillac_2023,Cadillac_6090,Gasoline_6090,Cadillac_0,Gasoline_0,None reported_0,Cadillac_Gasoline,None reported_Yes
Lucid,Air Grand Touring,2022,4900,Gasoline,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,99000,0,2,<50k,Lucid_Air Grand Touring,9907800,11.502875129116727,Lucid_2022,Lucid_4900,Gasoline_4900,Lucid_0,Gasoline_0,None reported_0,Lucid_Gasoline,None reported_Yes
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000,0,5,<50k,Audi_A5 2.0T Premium Plus,95948937,10.341742483467284,Audi_2019,Audi_47523,Gasoline_47523,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995,0,18,<50k,Chrysler_300C SRT8,86258000,9.90323752128092,Chrysler_2006,Chrysler_43000,Gasoline_43000,Chrysler_0,Gasoline_0,At least 1 accident or damage reported_0,Chrysler_Gasoline,At least 1 accident or damage reported_Yes
Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,130000,0,7,<50k,Bentley_Continental GT W12,29617628,11.77528972943772,Bentley_2017,Bentley_14684,Gasoline_14684,Bentley_0,Gasoline_0,None reported_0,Bentley_Gasoline,None reported_Yes
